core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
0.000018 0.000001 0.000025 0.000001 48.032000 47.256000
22.592752 1.087276 19.538315 1.105861 48.032000 47.351000
24.529711 1.066824 18.760117 1.104576 48.032000 47.351000
28.775875 0.996877 18.817423 1.099662 48.032000 47.348000
29.071671 0.962158 19.466113 1.105647 48.032000 47.348000
27.434929 1.019727 18.788722 1.104996 48.032000 47.348000
24.070211 1.079464 20.686320 1.099330 48.032000 47.351000
17.491801 1.105046 25.483420 1.095830 48.032000 47.351000
17.421500 1.080303 27.331204 1.075634 48.032000 47.351000
17.368913 1.079476 28.010783 1.064126 48.032000 47.351000
17.323714 1.100974 26.766601 1.099082 48.032000 47.351000
17.452816 1.102613 26.384716 1.108961 48.032000 47.351000
17.324115 1.111535 26.322535 1.103051 48.032000 47.351000
17.459316 1.102720 26.223886 1.108610 48.032000 47.351000
17.193169 1.104994 25.287016 1.106275 48.032000 47.351000
17.286857 1.097957 25.354574 1.105800 48.032000 47.351000
17.406280 1.102524 25.297260 1.108383 48.032000 47.351000
17.357161 1.109366 25.261334 1.108756 48.032000 47.351000
17.288361 1.100525 25.221191 1.108551 48.032000 47.351000
17.299209 1.102713 25.270000 1.105338 48.032000 47.351000
17.427115 1.109447 25.281442 1.111034 48.032000 47.351000
17.355940 1.102652 25.229412 1.101554 17.786000 47.363000
17.217915 1.093791 25.283914 1.105175 17.025000 16.539000
17.355774 1.107178 25.312347 1.104248 17.121000 16.539000
17.308191 1.111583 25.260623 1.106395 17.025000 16.539000
17.429578 1.100532 25.286315 1.104255 17.025000 16.539000
17.302279 1.100512 25.287026 1.110888 16.834000 16.538000
17.379547 1.111633 25.219727 1.108490 16.930000 16.539000
17.300673 1.100364 25.295177 1.105979 16.928000 16.638000
17.422834 1.107199 25.261730 1.108634 17.025000 16.447000
17.295514 1.107184 25.279265 1.108527 16.930000 16.638000
17.368167 1.098284 25.287422 1.110827 16.929000 16.542000
17.422494 1.109440 25.248728 1.106389 17.121000 16.539000
17.338283 1.104978 25.287517 1.105406 16.928000 16.638000
17.666897 1.111618 25.276776 1.104294 16.929000 16.539000
17.286937 1.102620 25.257590 1.106251 16.929000 16.542000
17.625061 1.111664 25.270264 1.099518 16.929000 16.543000
17.484631 1.111609 25.279260 1.110571 16.929000 16.443000
17.521002 1.109393 25.234840 1.098864 16.929000 16.447000
17.459747 1.102737 25.301495 1.108749 16.929000 16.538000
17.633799 1.116122 25.248865 1.103945 16.929000 16.543000
17.514892 1.109421 25.274426 1.106338 16.834000 16.543000
17.467159 1.100538 25.282805 1.106092 17.025000 16.351000
17.553937 1.109397 25.244366 1.108359 16.929000 16.638000
17.638008 1.109423 25.291481 1.108660 16.929000 16.542000
17.495169 1.100521 25.713825 1.108394 16.832000 16.539000
17.614631 1.104998 28.822788 1.104022 16.929000 16.539000
17.352480 1.104950 28.966901 1.110656 16.929000 16.538000
17.593503 1.104992 28.877715 1.106213 16.929000 16.638000
17.515086 1.098227 28.920162 1.110891 16.929000 16.638000
17.545036 1.109417 28.934890 1.099590 16.929000 16.730000
17.511335 1.102713 28.873060 1.101706 16.929000 16.539000
17.556987 1.111592 28.946078 1.108601 16.929000 16.634000
17.528868 1.102707 28.780267 1.108597 16.929000 16.539000
17.611082 1.100538 27.694455 1.108656 16.929000 16.634000
17.431946 1.100387 27.787788 1.110489 16.929000 16.539000
17.216756 1.096037 27.804312 1.106383 16.929000 16.634000
17.530785 1.104947 27.730064 1.103971 16.929000 16.634000
17.563886 1.109472 27.804784 1.108648 16.929000 16.634000
17.240260 1.107158 27.808826 1.106334 16.929000 16.539000
17.270009 1.104992 27.714877 1.101635 17.025000 16.634000
17.520877 1.109331 27.655766 1.109911 16.929000 16.543000
17.562799 1.104976 26.437280 1.108761 16.929000 16.443000
17.316548 1.109414 26.376242 1.106240 16.737000 16.543000
17.317402 1.111660 26.466517 1.108456 16.929000 16.443000
17.511849 1.111622 26.488352 1.106312 16.929000 16.539000
17.393733 1.093855 26.424664 1.106764 16.929000 16.538000
17.357904 1.093746 26.470192 1.105922 16.929000 16.542000
17.352903 1.098297 26.469705 1.104279 16.834000 16.443000
17.472900 1.109421 26.274596 1.105301 16.929000 16.543000
