core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
0.000018 0.000001 0.000025 0.000001 47.729000 47.333000
22.478297 1.089685 19.556642 1.103876 47.729000 47.333000
24.842658 1.065814 18.720814 1.102404 47.729000 47.333000
28.733645 0.997575 18.852291 1.103503 47.729000 47.333000
29.034380 0.963958 19.327934 1.110621 47.729000 47.333000
27.494282 1.026931 18.743409 1.115619 47.729000 47.333000
23.525815 1.079930 20.912975 1.099003 47.729000 47.333000
17.415113 1.098823 25.484528 1.095679 47.729000 47.333000
17.409821 1.066284 26.947327 1.072021 47.729000 47.333000
17.357300 1.071686 26.974274 1.064514 47.634000 47.333000
17.235180 1.092933 30.925631 1.103766 47.634000 47.333000
17.326874 1.098175 30.250946 1.103577 47.634000 47.333000
17.250848 1.096082 27.122335 1.106886 47.634000 47.333000
17.328981 1.095962 25.422496 1.105270 47.634000 47.333000
17.292004 1.104926 25.408630 1.107490 47.634000 47.333000
17.341327 1.104913 25.337098 1.107202 47.634000 47.333000
17.557868 1.097155 25.392496 1.108019 47.634000 47.333000
17.190410 1.098256 25.330222 1.106984 47.634000 47.333000
17.148956 1.095995 25.388163 1.100237 47.634000 47.333000
17.396916 1.102678 25.410523 1.103991 47.634000 47.333000
17.290458 1.107204 25.358144 1.104823 47.634000 47.333000
17.264925 1.100481 25.420145 1.106646 17.685000 47.363000
17.222931 1.107086 25.419464 1.103790 16.929000 16.539000
17.461164 1.096030 25.357646 1.108023 16.832000 16.539000
17.281022 1.100534 25.392903 1.102762 16.736000 16.634000
17.356726 1.111699 25.400990 1.109044 16.834000 16.539000
17.255846 1.095984 25.354758 1.107336 16.833000 16.539000
17.338968 1.107167 25.416769 1.104573 16.929000 16.634000
17.353084 1.102598 25.429911 1.104551 16.736000 16.539000
17.346601 1.109382 25.350646 1.105445 16.738000 16.539000
17.305381 1.096004 25.407827 1.105037 16.737000 16.634000
17.648807 1.104996 25.422322 1.106735 16.833000 16.539000
17.361582 1.107197 25.363607 1.107106 16.641000 16.539000
17.342599 1.100529 25.426463 1.106175 16.738000 16.443000
17.455192 1.100505 25.374827 1.107647 16.833000 16.443000
17.336653 1.107199 25.450297 1.104789 16.641000 16.347000
17.467342 1.093839 25.435191 1.105009 16.833000 16.443000
17.414638 1.100508 25.386260 1.107496 16.738000 16.539000
17.376129 1.104950 25.443054 1.108521 16.833000 16.539000
17.403273 1.102744 25.449076 1.107505 16.833000 16.443000
17.539938 1.098262 25.391256 1.106838 16.833000 16.443000
17.481969 1.113879 25.427989 1.107440 16.833000 16.347000
17.488691 1.111594 25.417582 1.104789 16.731000 16.634000
17.393729 1.104946 25.370809 1.106471 16.641000 16.539000
17.391610 1.102666 25.428630 1.104741 16.738000 16.443000
17.531320 1.107182 25.435099 1.109379 16.738000 16.443000
