,Tiempo Entrenamiento (s),Tiempo Evaluacion (s),Precision (%),Error (%)
0,6552.232007741928,33.66019892692566,0.8102564102564103,0.03320274341196092
1,6553.261880874634,33.349804639816284,0.7888888888888889,0.03661069343126589
2,6552.978156328201,33.60427904129028,0.7931623931623931,0.03874807633450188
3,6661.836116313934,33.91392421722412,0.770940170940171,0.03983289665652853
4,6553.349266529083,33.628889083862305,0.82991452991453,0.031603343201365756
5,6554.925083398819,33.934332609176636,0.7923076923076923,0.03764878048555794
6,6533.11536026001,32.997629165649414,0.7743589743589744,0.03939386659972639
7,6669.386662483215,34.01870036125183,0.8008547008547009,0.03675058461563418
8,6555.443631887436,33.93826150894165,0.7991452991452992,0.03517519995370099
9,6553.985565185547,33.840099811553955,0.7923076923076923,0.03757176692885899
