8.376053905487060547e+01,1.734324812889099121e+01,1.000000000000000000e+00,1.318114496498064671e-03
8.549286818504333496e+01,1.723240804672241211e+01,9.979999999999999982e-01,1.996889870010088667e-03
8.642710542678833008e+01,1.818588542938232422e+01,9.939999999999999947e-01,5.844981925847460291e-03
8.664188861846923828e+01,1.783021306991577148e+01,9.979999999999999982e-01,2.330096266183810487e-03
7.289982438087463379e+01,1.847892117500305176e+01,9.939999999999999947e-01,5.234569424794957571e-03
7.384664988517761230e+01,1.743900847434997559e+01,9.979999999999999982e-01,1.252544292048076227e-03
7.565559720993041992e+01,1.859324121475219727e+01,9.919999999999999929e-01,5.181615059341879159e-03
7.630478167533874512e+01,1.760533118247985840e+01,1.000000000000000000e+00,5.071012776265635931e-04
7.127667593955993652e+01,1.774209785461425781e+01,9.899999999999999911e-01,1.014555444701078536e-02
7.356724834442138672e+01,1.862478971481323242e+01,9.979999999999999982e-01,2.205793507300298287e-03
