6.180803823471069336e+01,1.704747700691223145e+01,9.919999999999999929e-01,6.352347345148398952e-03
6.091628479957580566e+01,1.737861514091491699e+01,1.000000000000000000e+00,1.213495771577426281e-03
5.999710679054260254e+01,1.690330529212951660e+01,9.939999999999999947e-01,3.953924240187044886e-03
5.963171148300170898e+01,1.676926565170288086e+01,1.000000000000000000e+00,3.755277911232715051e-04
6.031715178489685059e+01,1.670212173461914062e+01,9.879999999999999893e-01,8.716405442587133595e-03
5.974986529350280762e+01,1.685092735290527344e+01,9.939999999999999947e-01,4.840691992296545544e-03
5.959159564971923828e+01,1.664731431007385254e+01,9.979999999999999982e-01,1.825828663334736141e-03
6.111831378936767578e+01,1.673865556716918945e+01,9.979999999999999982e-01,2.615421821517190798e-03
5.939853739738464355e+01,1.669024729728698730e+01,9.979999999999999982e-01,3.482078847472072115e-03
5.939392948150634766e+01,1.659700822830200195e+01,9.959999999999999964e-01,3.611010358411406457e-03
