,Tiempo Entrenamiento (s),Tiempo Evaluacion (s),Precision (%),Error (%)
0,3558.279946565628,26.595557928085327,0.7966292134831461,0.03457223183853331
1,3554.8771500587463,26.67501950263977,0.7617977528089888,0.041397734717510716
2,3558.562216758728,26.86702275276184,0.7955056179775281,0.03212561448035493
3,3559.2874987125397,26.69627070426941,0.8269662921348314,0.029500190793864886
4,3558.029410123825,26.771224975585938,0.7325842696629213,0.04411426203057422
5,3556.7498145103455,26.83004140853882,0.8033707865168539,0.03427497873147949
6,3562.085911989212,26.8223659992218,0.6651685393258427,0.05226939311609857
7,3553.752250432968,26.755412101745605,0.7426966292134831,0.04241992021644122
8,3559.297570705414,26.629629611968994,0.7539325842696629,0.040880248655686326
9,3553.7477157115936,26.763056993484497,0.8123595505617978,0.03306530860075045
