core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
0.000018 0.000001 0.000025 0.000001 48.032000 47.348000
22.662178 1.091712 19.573847 1.106269 48.032000 47.348000
24.891422 1.062127 18.713419 1.100305 48.029000 47.348000
28.954666 1.003703 18.949195 1.103588 48.015000 47.348000
28.900257 0.961231 19.308362 1.101763 48.032000 47.348000
26.503575 1.025222 18.766529 1.109329 48.032000 47.348000
22.579442 1.089406 19.913969 1.100452 48.032000 47.348000
17.446442 1.103531 25.422973 1.096665 48.032000 47.348000
17.382826 1.067863 26.987058 1.069968 48.032000 47.348000
17.368073 1.073029 27.660309 1.063904 48.032000 47.348000
17.310054 1.081541 26.996559 1.093778 48.032000 47.348000
17.382716 1.104109 26.453595 1.108412 48.032000 47.348000
17.249461 1.093739 26.346111 1.110157 48.032000 47.348000
17.356122 1.102698 26.295537 1.107581 48.032000 47.348000
17.377346 1.098295 26.061197 1.109647 48.032000 47.348000
17.372345 1.104950 25.297485 1.107574 48.032000 47.351000
17.333287 1.098177 25.365865 1.107272 48.032000 47.348000
17.385315 1.102722 25.341217 1.109894 48.032000 47.348000
17.358446 1.098214 25.342976 1.109262 48.032000 47.348000
17.381692 1.109410 25.256388 1.104893 48.032000 47.348000
17.195416 1.098243 25.293426 1.105628 48.032000 47.348000
17.388773 1.104878 25.331686 1.105244 17.786000 47.363000
17.274902 1.107178 25.317657 1.106689 17.025000 16.539000
17.356934 1.111664 25.319458 1.107788 17.025000 16.539000
17.243989 1.102740 25.368448 1.109881 16.929000 16.538000
17.461823 1.089355 25.321747 1.107117 16.929000 16.539000
17.291536 1.102707 25.333386 1.109909 16.929000 16.539000
17.321206 1.102757 25.290293 1.107487 16.832000 16.539000
17.321838 1.098206 25.334106 1.107513 16.929000 16.539000
17.336642 1.107195 25.403269 1.109759 16.929000 16.539000
17.302767 1.116104 25.334698 1.107345 16.929000 16.443000
17.381238 1.098151 25.270629 1.102790 16.929000 16.539000
17.345664 1.102718 25.283499 1.107295 16.929000 16.443000
17.523233 1.102574 25.319651 1.102482 16.929000 16.539000
17.578334 1.109403 25.252879 1.105955 16.929000 16.539000
17.364906 1.098286 25.314573 1.107564 16.834000 16.539000
17.407375 1.091581 25.290904 1.103025 16.929000 16.443000
17.492563 1.104954 25.284006 1.107335 16.929000 16.443000
17.451137 1.109403 25.358775 1.108915 16.929000 16.443000
17.411539 1.102711 25.366507 1.105580 16.834000 16.539000
17.424521 1.100536 25.289163 1.104930 16.929000 16.539000
17.522116 1.102718 25.322134 1.105220 16.929000 16.443000
17.546025 1.098299 25.238210 1.107668 16.929000 16.539000
17.519955 1.107130 25.205777 1.103071 16.834000 16.443000
17.498992 1.104934 25.365276 1.109726 16.929000 16.539000
17.485601 1.100512 25.315102 1.110095 16.929000 16.539000
17.456630 1.104978 26.034860 1.106931 16.929000 16.634000
17.516784 1.107193 27.694894 1.109665 16.929000 16.443000
17.339084 1.100481 27.668472 1.107195 16.929000 16.539000
17.519928 1.104919 27.625336 1.105438 17.025000 16.634000
17.223938 1.093842 27.705048 1.096558 16.929000 16.634000
17.510010 1.107086 27.692078 1.105011 16.929000 16.539000
17.584027 1.100333 27.704673 1.107535 16.929000 16.635000
17.516409 1.104915 27.713726 1.107814 16.929000 16.634000
17.449402 1.102753 27.303802 1.100708 16.929000 16.539000
17.232342 1.082679 26.563209 1.105475 16.832000 16.539000
17.416342 1.109417 26.541952 1.105114 16.929000 16.539000
17.315505 1.102713 26.524812 1.107505 16.929000 16.634000
17.572040 1.109445 26.566619 1.109445 16.929000 16.730000
17.518053 1.109399 26.572625 1.109826 16.929000 16.634000
17.603408 1.107184 26.514319 1.106696 17.121000 16.634000
17.482723 1.107145 26.584786 1.101194 16.929000 16.539000
17.446668 1.102729 26.559791 1.107367 16.832000 16.443000
