75.44%,78.11%,65.44%,59.56%,41.11%,36.78%
75.33%,77.89%,64.33%,59.22%,38.00%,24.22%
75.44%,78.44%,65.78%,56.00%,48.67%,32.67%
75.33%,77.89%,62.22%,52.89%,46.00%,33.11%
75.33%,78.33%,63.67%,58.00%,31.44%,32.67%
75.44%,78.00%,65.33%,58.89%,36.56%,33.44%
75.22%,78.22%,66.78%,54.44%,47.11%,35.56%
75.00%,78.44%,72.33%,62.00%,44.56%,35.11%
75.33%,78.11%,72.11%,61.78%,41.78%,34.00%
75.56%,78.44%,67.78%,64.22%,48.78%,36.78%
75.00%,77.89%,60.89%,56.67%,36.44%,38.00%
74.78%,78.11%,55.33%,60.00%,44.00%,36.00%
75.89%,78.11%,66.56%,62.78%,52.78%,34.78%
76.11%,78.22%,74.11%,61.33%,49.22%,37.22%
75.56%,78.11%,75.11%,45.44%,54.00%,36.67%
75.11%,78.67%,73.78%,65.00%,50.00%,33.44%
75.44%,78.11%,75.11%,60.33%,40.56%,39.44%
75.44%,78.11%,69.78%,55.00%,52.67%,31.44%
75.56%,78.44%,67.44%,60.56%,49.67%,28.89%
75.78%,78.56%,72.78%,62.11%,51.33%,33.44%
75.67%,78.00%,75.11%,61.56%,42.89%,34.44%
75.89%,77.89%,77.78%,61.33%,53.67%,37.89%
75.89%,78.44%,77.00%,66.00%,43.00%,35.33%
75.44%,77.89%,67.22%,58.89%,55.33%,35.44%
75.11%,78.22%,77.44%,57.67%,48.56%,35.11%
75.56%,78.11%,78.00%,61.67%,50.67%,38.56%
76.56%,78.33%,69.22%,65.11%,51.67%,38.67%
76.00%,78.22%,77.78%,59.67%,57.33%,36.67%
75.78%,78.22%,76.67%,61.00%,43.22%,35.33%
75.44%,78.33%,77.44%,62.56%,48.33%,35.67%
76.33%,78.67%,77.89%,63.78%,50.11%,33.56%
75.56%,77.56%,76.78%,63.44%,52.78%,40.00%
75.89%,78.56%,78.33%,61.22%,47.22%,38.44%
76.22%,78.22%,78.89%,63.00%,54.22%,41.67%
76.11%,78.00%,77.78%,63.33%,53.67%,32.44%
76.00%,78.44%,78.22%,62.56%,59.44%,35.89%
75.11%,78.33%,78.44%,63.67%,48.78%,39.00%
75.78%,77.67%,78.44%,64.44%,56.78%,42.00%
