,Tiempo Entrenamiento (s),Tiempo Evaluacion (s),Precision (%),Error (%)
0,3647.3285014629364,35.647923707962036,0.7837606837606838,0.035248837694657476
1,3653.149798631668,35.47422647476196,0.7,0.047894032524141025
2,3648.45397233963,35.50593876838684,0.6829059829059829,0.05046975556695637
3,3654.8954515457153,36.04148292541504,0.8068376068376069,0.03191391682964447
4,3650.7130148410797,35.84170651435852,0.7863247863247863,0.0354350724635196
5,3652.843346595764,35.67439103126526,0.5119658119658119,0.08289463197143951
6,3657.7070875167847,35.80347156524658,0.7794871794871795,0.035088498240920724
7,3651.5074648857117,35.734344244003296,0.805982905982906,0.0327882570582997
8,3648.6127076148987,35.794252157211304,0.7256410256410256,0.04390971142886153
9,3651.916837453842,35.63807988166809,0.7188034188034188,0.044100930147678866
